journal_full_title;issn;eissn;doi;period;is_gold;is_hybrid;is_green;non_oa;bfi_level;publisher;institution;corresponding_author;corresponding_institution;euro;submission_fee;page_charge;color_charge;CC-charge;discount;dk_funding
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3373-1;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3363-3;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3262-7;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-014-3224-5;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3406-9;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3325-9;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3511-9;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-014-3191-x;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3655-7;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3628-x;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3372-2;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3474-x;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3306-z;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3408-7;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3534-2;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3551-1;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-014-3233-4;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3609-0;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3639-7;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3425-6;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3261-8;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3518-2;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3543-1;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3685-1;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
European Physical Journal C. Particles and Fields;1434-6044;;10.1140/epjc/s10052-015-3644-x;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of Cosmology and Astroparticle Physics;1475-7516;;10.1088/1475-7516/2015/06/051;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP07(2015)157;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP08(2015)148;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP02(2015)133;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP10(2015)150;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP11(2015)205;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP11(2015)127;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP09(2015)095;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP11(2015)206;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP10(2015)121;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP06(2015)100;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP06(2015)190;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP04(2015)117;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP05(2015)097;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP07(2015)051;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP09(2015)050;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP09(2015)148;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP12(2015)105;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP09(2015)170;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP01(2015)049;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP05(2015)061;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP09(2015)049;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP09(2015)141;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP02(2015)153;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP01(2015)020;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP11(2015)172;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP02(2015)046;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP04(2015)040;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP06(2015)055;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP03(2015)041;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP03(2015)088;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP12(2015)061;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP07(2015)162;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP09(2015)108;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP12(2015)055;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP11(2015)211;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP07(2015)032;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP08(2015)138;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP08(2015)105;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP04(2015)116;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP01(2015)069;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP01(2015)068;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP08(2015)137;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP10(2015)134;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of High Energy Physics (Online);1029-8479;;10.1007/JHEP10(2015)054;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of Instrumentation;1748-0221;;10.1088/1748-0221/10/09/P09018;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of Instrumentation;1748-0221;;10.1088/1748-0221/10/02/C02027;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Journal of Instrumentation;1748-0221;;10.1088/1748-0221/10/02/C02030;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Nature Physics;1745-2473;;10.1038/NPHYS3432;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review C (Nuclear Physics);0556-2813;;10.1103/PhysRevC.91.024609;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review C (Nuclear Physics);0556-2813;;10.1103/PhysRevC.91.064905;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review C (Nuclear Physics);0556-2813;;10.1103/PhysRevC.92.034904;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review C (Nuclear Physics);0556-2813;;10.1103/PhysRevC.92.034903;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review C (Nuclear Physics);0556-2813;;10.1103/PhysRevC.92.014327;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review C (Nuclear Physics);0556-2813;;10.1103/PhysRevC.92.054908;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review C (Nuclear Physics);0556-2813;;10.1140/epjc/s10052-015-3517-3;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review C (Nuclear Physics);0556-2813;;10.1103/PhysRevC.91.034906;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review C (Nuclear Physics);0556-2813;;10.1103/PhysRevC.92.044915;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review D (Particles, Fields, Gravitation and Cosmology);1550-7998;;10.1103/PhysRevD.91.112012;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review D (Particles, Fields, Gravitation and Cosmology);1550-7998;;10.1103/PhysRevD.91.012001;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review D (Particles, Fields, Gravitation and Cosmology);1550-7998;;10.1103/PhysRevD.91.112013;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review D (Particles, Fields, Gravitation and Cosmology);1550-7998;;10.1103/PhysRevD.91.032004;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review D (Particles, Fields, Gravitation and Cosmology);1550-7998;;10.1103/PhysRevD.91.012006;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review D (Particles, Fields, Gravitation and Cosmology);1550-7998;;10.1103/PhysRevD.92.072005;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
Physical Review D (Particles, Fields, Gravitation and Cosmology);1550-7998;;10.1103/PhysRevD.92.012006;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Eksperimentel subatomar fysik;;;;;;;;;
